id,text,a6,a12,a16,a19,a20,a22,a39,a42,a52,a60,a61,a65,a68,a70,a93,a98,a99,a100,a102,a120,a127,a131,a151,a157,a158,a178,a180,a185,a193,a196,a197,a215,a216
450d326d,"<url>. Congrats, or should I say good luck?",,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6a22f4ec,Can I get some time to finish what I am doing without everything being deleted??,,,,,,,,,,,1.0,,,,,,0.0,,,,,,,,,,,,,,,,
823f1104,"Ok. Thank you for clarifying. Could you be more specific as to what you are specifying as ""the claim"" so that I may find relevant information to refute?",,,,,,,,,,,1.0,,,,,,0.0,,,,,,,,,,,,,,,,
7677905a,"One wonders, of course, who ""Elliott of Macedon"" would have been. Probably something analogous to Brian of Nazareth but in a Macedonian phalanx?",,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
a1ce799b,"So, let me make sure I understand this. You think that, if we remove an image as it does not meet the NFCC, you would then be able to upload the same image, only this time, it would meet the NFCC?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0
4c1de5ef,"Cla, your partisanship is indeed fairly obvious, and pointing to one article where you've deliberately been good isn't good enough. So: if I point you to my stand against AJL, will you declare me to be non-partisan?",,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
647fc2eb,4.5 million hits on Google turning up the non-Columbia campuses.  What are you talking about?,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
ddadc36c,"You were right that there was a problem, but I see Xn4 has now had a go at it. Perhaps you could look at it again?",,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0
f8e58f96,"Well, in that case we should simply point the shortcuts to where they originally pointed, which in most cases is unrelated to both VIE and VINE. That sounds like a fair and neutral compromise, no?",,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
6c0ecb0d,"Hi, nice article.  What is meant by ""speculative townhouses?""  Ones that were built for prospective renters rather than for committed buyers?",,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
ab674a8c,"Hey, I'm inquiring about my <url> a few months ago for photos from the Flames-Rangers game that took place last week. I've gotten a few of these since then, but just wondering if you remembered and got any shots that would be worth using on here?",,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,
4573fd26,"I see you ended the AfD on <url> and removed the tag.  Will you remove it on the other two articles that were proposed along with it, <url> and <url>?",,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
54262083,This is great so far! What do you feel you need help with?,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
1073de1f,"May I ask why you removed <url> from the article on <url>?  Since CAP is the USAF's official auxiliary, wouldn't it make sense for the CAP article to be in the USAF category?",,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,
b39835dc,Wow that's old! What do you think of <url>?,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0
3ccd5d3f,"Thanks, firstly, for the affirmation and work on <url>; it was yesterday's featured article! As a related article, I've been working on <url> - what do you think would be necessary to get it to FA?",,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
29845e3d,"I noticed that the A team article for Australia is at <url> instead of <url>.  Is that intentional, or something we should fix with a page move?",,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
ae62bff4,"Yes, I just saw that. DJ, if you wished to delete the still tagged pages then that was your judgement call but to delete pages which I had already declined a speedy on was rather bad form wouldn't you say?",,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0
b37d2cfe,"Lemme just remember, who's going to be mentioned first? Snyder, or the failed projects?",,,,,1.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
5fbdb9f4,"I think it is a great idea to merge my Geraldine Jones article to the flip Wilson show article, but I don't know how to do that. Can you help me?",,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,,,,,,,,,
5abe670b,"Eeeeerrrrr... Could you type a little slower, I am having trouble with the above!?",,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2e79bace,"Likewise there is some discussion at <url>, where <url> is categorising itself and its documenttation. Could you please fix that as well?",,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,
2b51cf2d,I am planning on changing the <url> to the ICF Flatwater World Championships. Any objections?,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
7936f4fd,REVERT???,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4ae49ffe,"On a more practical note: One either does or doesn't agree to take part in mediation. Which is it, please?",,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,
1579c920,"On another subject, have you finished the books I suggested? Want more?",,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
4fbbf076,"BTW, I'm amazed that he has the gumption to show his mug after <url>. And do you have the balls (metaphorically or otherwise) to place a hatnote above his article linking to that term?",,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,
0be6c004,"Wikipedia is anything '''but''' formal, many characters real or fictional don't get referred by their full names all the time. Besides, who else on wikipedia thinks ""OOO"" is awkward?",,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,
d3494fd0,Just musing on creating an article about the formation of the Pixies (I reckon I could write a decent-sized article on the whole thing). What are your thoughts?,,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,,,,,,,,,
0d1c02df,"I've just reinstated the perfectly valid redirect to this. I seem to remember there was some issue years ago with a rock group of the same name, but don't you look at these things before you delete?",,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,
e738a533,"<url> is one of the three fundamental Wikipedia content policies; why is it a ""shame"" you have to follow it? What did you mean by ""people like you""?",,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0
c00dec85,"Yes, but not for long. How are you?",1.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
3f48d042,"Further, one may ask why there is no proto-tumour-suppressor. Could it be because tumour-suppressors were discovered later, when mechanisms were better understood?",,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,
4b8acf5e,"It is fair use. And, I have no free alternative in the context of ""Sugoroku Mutou."" Now, why don't you find me a replacement picture in the context of ""Japanese names,"" and I will accept the removal of the picture?",,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,
bd36a3d8,Denied. I take it then that you deny responsiblity for an account (which I'll not name here) created just four minutes after you made that edit?,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,
9170a138,hi Mustafaa I have some historical pictures and some sentences written on them which seems to be arabic. Can you tell me if it is arabic or not if i send you a copy?,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
135be3f8,"So, I'm a ""deletion fanatic""? Why don't you refrain from uncivil remarks and focus on adding sources to your unsourced stubs - help the encyclopedia rather than pissing off people?",,,,,,,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
05eceac5,"Sorry, I was wondering if the are related to each other or separate organizations? Also is there a difference between North Twillingate and Twillingate?",,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
d9a601fb,"I hope I am now signed on and you remove the erroneous vandalism report. Don't you think it would be more politic to send a message with a question than to preemptorily declare an edit ""vandalism""?",,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,
0d57cdc8,"Hi Michael, have you ever heard of this term before?  Does it have wide usage?",,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
43f1c800,Thank you for reverting vandalism on my page.  How did you catch it so fast?,,,,,,,,,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,
bc120fe7,"Note: Kurt's talk page almost certainly isn't a good place to seek a broad or unbiased consensus on this question, nor is it the appropriate venue in which to request an exemption from a ban &mdash; and in all honesty, I'm not sure that managing such an exemption for the purpose of posting gags would be a constructive use of anyone's time.  Perhaps it would be best to save the jokes for a time when you're once again allowed to edit in the WP namespace, or post whatever jokes you wish (within reason) in your own user space?",,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
a538097a,The race was advertised and billed as the 100th Indy 500. Are you saying the promoters and Indycar are liars?,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2e18a56f,I refer you to my last answer about independent sources. Do you have press coverage?,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
b5b2228a,"Editing pattern just means, have you made more than 3R in 24h. Why should S get blocked, when S didn't break 3RR?",,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
06daa9ca,"Hi, I think that you do a fantastic job on DELSORT. However, I was just wondering if, when you add to Schools, whether you would be good enough to add them to the appropriate section, please?",,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
01217043,Thank you for your answer about Illustrator.  How does Adobe Illustrator compare with InDesign?,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
40570a1f,Okay thanks. Any easy way to determine this?,,,,,,,,,,,0.0,,,,,1.0,,,,,,,,,,,,,,,,,
d3bf12b5,I am currently writing up an RfA for Chacor. Can you check with the other Arbcom members and make absolutely sure that he's authorized to run?,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ed23f176,<url>.. it doesn't really explain what the issue was. Can you word it better?,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,
b5587f20,"Hi. Just out of interest, are you by any chance the same Tom Walker who maintains this <url>?",,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
54c72a26,"I'm sure that this is not a useful place to discuss the merits of your topic ban, which I think would need a wider audience to overturn. Perhaps you could make a request to the arbitration committee?",,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0
465ba975,"I noticed that you did some work on this article, and would like to expand it to include his recommendation (in ''Can Life Prevail'') that the UN develop hit squads to target large urban population centers (with neutron bombs as I recall), and also the discussion on the 9/11 terrorists being ""superior moral human beings"" for their actions.  Understanding that this is a BLP, that NPOV is important, and that including secondary sources is nearly impossible as they are difficult (at best) to find, what is your feeling on this?",,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.0,,,
bf17c4ac,"Hi, what are the technical steps to withdraw a nomination to delete a category? Or more specifically, what template did you use to withdraw your nomination?",,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
c54f241c,"Deleting Val Klassen's page. I redirected it to the creator's talkpage, wasn't that enough?",,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
1412eb71,You may want to comment on the A7 to ?2 graph with 4 lines. I suspect it is nonsense - but what are your thoughts on that folding option?,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
06f34f31,Merci. Now do you have any idea to solve discrepancy in <url> ?,,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
b07a70e1,"... then you have to at least meet me half-way. For instance, ""''<url>'' described the episode as displaying ""an exhilarating flair for rapid change of comic gear"" and made commented positively on the scene."" Can you see the problem here?",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
3c97fd6e,"Damn it! Should we just revert back to the beginning of the day, since what I wrote was based on analyzing the satellite data?",,,,0.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
93ac03d9,"I couldn't find your ""email user"" function. What's up?",,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
400216c9,Where does it say in the policy that it doesn't apply to good users?  Where in the policy does it say only soft blocks should be performed?,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
ff697945,"Hi JoJan. I see that the template which listed the failed FA attempt on <url> was deleted from the talk page, and I wanted to ask if that is considered OK or not?",,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.0,,,
5b1d0e94,"Holy steaming <url>.  I presume you know about the <url>, yes?",,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,
89e4be3b,But ATT is a re-statement of NOR and V. We don't need a re-statement of them and then call it RS. What would be the point?,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
59ac5a46,Also I am willing to resume the discussion between you me and Direktor about the Legacy section. Would you be able to let me know on my talk page whether you are willing to do that in the near future?,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
49fcc831,That would be awesome. Do you want to ask someone for clarification on whether project sandboxes are allowed?,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
01be78c9,Another sock down. How many more to go?,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
cab2daa7,The haven't first team appearances for gods sake! How can you say they deserve an article?,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,
fd5939ce,"Yes, it is a matter of civility.  Do you think a year would be better?",,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,
d9a708de,I am concern why this user never replies to messages left on her talk page. Does she talk?,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
67d8f60f,"Thanks Bro, it is better to ask is the stead of jumping out and getting a disgruntled Admin on my back. And why would you continualy :: bludgeon yourself over the head with your keyboard when you have my jokes?",,,1.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
b479f1f8,"Hi there, you entered info in the bio of <url>, saying he is related to <url>. Do you have any more info on the specific relationship, and also how they were related to <url> ?",,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
1c2e079a,Thanks for your help on <url>.  Any advice on edits we should make to get it up the quality scale?,,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,,,,,,,,,
89901b76,"Splendid work on <url>! Do you have a copy of that reference, or use the library's?",1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0124027e,"Wow, you waited a whole ten minutes. What's the problem?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,
37143bc7,"Oops, I also just realized that I probably shouldn't delete this image because I added a comment on the talk page.  Is this correct?",,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,
765da351,Don't add any more trash to the article. Got it?,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,
34053b45,If the deleted image only has a single character then no need to restore. Would you be against adding an image illustrating the 4 protagonist dinosaurs?,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,
40040dda,Please see <url>. Can you help?,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,,,,,,,,,
937483c8,"I'm sorry, but I'm unlikely to have time to help. Maybe try <url>?",,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
6493958b,"I was going to create the list of tallest buildings in Hartford, when I saw that it had been deleted three years ago by you. I don't understand the reason for deletion; can you clarify why?",,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8e28a55d,I'll add that to the others. Will that work?,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,
44f3ee1b,"Re: <url>: if it's eligible for Did You Know, it's by definition not a stub. Cool?",,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,,,,,,,,,
d7a158c8,"As a former administrator, and therefore a veteran editor who knows how wikipedia really works, I am actually surprised you would even ask such a question with such an obvious answer. I suspect you were simply pointing out a perceived injustice with a question founded in a <url> that you yourself did not take seriously?",,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,
3c75e605,Such as the redundant link to ''Roe v. Wade''? Not an improvement?,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
cd73da4e,"What a joke, this player has played league football all his career and some clown has now deleted it off, what kind of rules has this been deleted under then? ""May be deleted"" seems a bit of a poor excuse to me personally, fancy giving me some information as to why this has been deleted then guys?",,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,
f187fa76,"I am far from worked up over this, but find it hard to AGF when someone tries to include inaccurate information into an article, claiming it had been checked by an administrator.  Who was the administrator?",,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0
0611033b,"Lionel, tell me the truth.  How long have you known BelloMello was wMo?",,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,
0e870d85,"Arguably, listing the former constructors and even the template itself is not necessary. Could we please try reinstating the previous version and see if and how many other folk don't find the decade information useful/intriguing?",,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
fb1b2e11,"You said ''""undo. Raggz, you added the tag and THEN mentioned it on talk- you did not gain consensus first or even wait for anyone to discuss it.""'' Is consensus required to add a tag?",,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0
2b5e997a,These two factors make me think that Indian ice-cream is a better name for the article than sxusem.  What are your thoughts on this?,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
4d7e0eac,"I am sorry, got confused on who created this article. :-/ Apologies?",,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
92a3f507,"Ridding the project from copyvio images, which could result in expensive legal battles and put the whole project at risk? You think that we should risk putting the work of thousands of editors to risk because of some image?",,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,
1f88976d,"Concerning <url>, I must say I am a bit confused: isn't the article's title ""Austria<span style=""color:red"">u2013</span>Hungary"" (where, incidentally, it was moved after an ""Austria<span style=""color:red"">-</span>Hungary"" period)? It's really no big deal, but how can something be both correct and incorrect, and which standard are we at long last supposed to follow?",,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
e7922df7,"I have, and they have not responded in one week. How long should I give it?",,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
3a133e7e,Hi. Would you be interested in reviewing <url> for its GA nomination?,,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,,,,,,,,,
49c0cd08,"I like yours better, it's less demeaning. This is pretty new to me... should I remove it or leave it?",,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0
b680cfe2,"Hello Jennica, I noticed you revert vandalsm occasionally. Would you like me to grant your account <url> to help you revert vandalism more easily?",,,,,,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
531c03ec,I apologize if I have misunderstood.  Are you not an acknowledged devotee of Prem Rawat?,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,
b7887f04,I agreed from my very first post on the first subject that it shouldn't be included yet you and the other user continued to misrepresent my position. Would you disagree with that?,,,,,,,,,,,,,,,,0.0,,,,,,,,,,1.0,,,,,,,
